,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
National Total,11.90,11.93,12.10,12.08,12.37,12.07,12.95,12.43,10.94,10.48
Beijing,7.48,8.29,9.05,8.93,9.75,7.96,9.32,9.06,8.24,8.12
Tianjin,8.18,8.58,8.75,8.28,8.19,5.84,7.37,7.65,6.67,6.73
Hebei,13.22,13.02,12.88,13.04,13.18,11.35,12.42,13.20,11.26,10.83
Shanxi,10.68,10.47,10.70,10.81,10.92,9.98,10.29,11.06,9.63,9.12
Inner Mongolia,9.30,8.94,9.17,8.98,9.31,7.72,9.03,9.47,8.35,8.23
Liaoning,6.68,5.71,6.15,6.09,6.49,6.17,6.60,6.49,6.39,6.45
Jilin,7.91,6.53,5.73,5.36,6.62,5.87,5.55,6.76,6.62,6.05
Heilongjiang,7.35,6.99,7.30,6.86,7.37,6.00,6.12,6.22,5.98,5.73
Shanghai,7.05,6.97,9.56,8.18,8.35,7.52,9.00,8.10,7.20,7.00
Jiangsu,9.73,9.59,9.44,9.44,9.45,9.05,9.76,9.71,9.32,9.12
Zhejiang,10.27,9.47,10.12,10.01,10.51,10.52,11.22,11.92,11.02,10.51
Anhui,12.70,12.23,13.00,12.88,12.86,12.92,13.02,14.07,12.41,12.03
Fujian,11.27,11.41,12.74,12.20,13.70,13.90,14.50,15.00,13.20,12.90
Jiangxi,13.72,13.48,13.46,13.19,13.24,13.20,13.45,13.79,13.43,12.59
Shandong,11.65,11.50,11.90,11.41,14.23,12.55,17.89,17.54,13.26,11.77
Henan,11.52,11.56,11.87,12.27,12.80,12.70,13.26,12.95,11.72,11.02
Hubei,10.36,10.39,11.00,11.08,11.86,10.74,12.04,12.60,11.54,11.35
Hunan,13.10,13.35,13.58,13.50,13.52,13.58,13.57,13.27,12.19,10.39
Guangdong,11.18,10.45,11.60,10.71,10.80,11.12,11.85,13.68,12.79,12.54
Guangxi,14.13,13.71,14.20,14.28,14.07,14.05,13.82,15.14,14.12,13.31
Hainan,14.71,14.72,14.66,14.59,14.56,14.57,14.57,14.73,14.48,12.87
Chongqing,9.17,9.88,10.86,10.37,10.67,11.05,11.77,11.18,11.02,10.48
Sichuan,8.93,9.79,9.89,9.90,10.22,10.30,10.48,11.26,11.05,10.70
Guizhou,13.96,13.31,13.27,13.05,12.98,13.00,13.43,13.98,13.90,13.65
Yunnan,13.10,12.71,12.63,12.60,12.65,12.88,13.16,13.53,13.19,12.63
Tibet,15.80,15.39,15.48,15.77,15.76,15.75,15.79,16.00,15.22,14.60
Shaanxi,9.73,9.75,10.12,10.01,10.13,10.10,10.64,11.11,10.67,10.55
Gansu,12.05,12.08,12.11,12.16,12.21,12.36,12.18,12.54,11.07,10.60
Qinghai,14.94,14.43,14.30,14.16,14.67,14.72,14.70,14.42,14.31,13.66
Ningxia,14.14,13.65,13.26,13.12,13.10,12.62,13.69,13.44,13.32,13.72
Xinjiang,15.99,14.99,15.32,15.84,16.44,15.59,15.34,15.88,10.69,8.14
